company_name,company_website,city,active_project,project_type,project_url,approximate_unit_count,target_market,current_digital_experience,identified_problem,opportunity_for_our_product,public_contact_name,public_contact_role,public_business_email,public_business_phone,linkedin_company_url,instagram_url,source_1,source_2,last_verified_date,lead_score,priority,recommended_channel,personalized_demo_angle,notes
"Prestigia Luxury Homes","https://prestigia-morocco.com/","Casablanca","Bouskoura Golf City (Casablanca) ; Ryad Al Andalous (Rabat, 5 260 unités, 54 ha) ; Marrakech Golf City (2 750 unités) ; Argan Golf Resort (1 040 unités) ; Rabat Riviera Golf Living (1 000+ unités) ; Fès City Center (1 430 unités) ; Argan Signature (60 unités)","Appartements et villas de luxe en resort golfique","https://prestigia-morocco.com/programmes-immobilier/ryad-al-andalous-rabat/","5 260 sur Ryad Al Andalous ; 2 750 sur Marrakech Golf City ; volumes publiés par projet","Luxe, MRE et investisseurs étrangers","Filtres par ville, type de bien, chambres et budget ; pages projet descriptives avec formulaire et rappel téléphonique ; aucun statut de lot, aucun plan d'étage, aucune donnée par unité","Des programmes de plusieurs milliers d'unités commercialisés sans qu'un acheteur puisse consulter une seule disponibilité. Le rappel téléphonique est le seul chemin.","Bouskoura Golf City est le jumeau réel de notre démonstration Azure Bouskoura — même ville, même segment. La personnalisation est presque immédiate.","","","","0801 006 006","","","https://prestigia-morocco.com/","https://www.lagenceimmobiliere.ma/comparateur-promoteurs-immobilier-luxe-maroc/","2026-07-24","86","A","Téléphone puis courrier au siège","Bouskoura Golf City : reprendre notre démonstration Azure Bouskoura, ville identique, et montrer le sélecteur d'îlot et d'étage. Angle de personnalisation le plus direct de la base.","Marque premium du Groupe Addoha. Siège : Km 7, Route de Rabat, Ain Sebâa, Casablanca. Aucune adresse e-mail publiée : Non vérifié. Décision probablement centralisée chez Addoha."
"Palmeraie Immobilier (Palmeraie Développement)","https://www.palmeraie-immobilier.ma/","Marrakech","California Golf Resort (Bouskoura) ; La Colline de l'Océan et Ocean Palm (Dar Bouazza) ; Palm Square (Casablanca) ; Le Pavillon du Golf, Secret Garden, Les Jardins de l'Atlas, Les Jardins de la Palmeraie (Marrakech)","Villas, appartements, duplex, pavillons en resort","https://www.palmeraie-immobilier.ma/","California Golf Resort : 550 villas et 400 appartements sur 127 ha selon la presse spécialisée","Luxe et haut de gamme, MRE et étrangers","Recherche par ville, type de bien, nombre de pièces et surface, avec filtre par équipements (écoles, golf, commerces) ; navigation au niveau du projet uniquement, aucune disponibilité par lot","Un resort de 950 unités (550 villas + 400 appartements) sans inventaire consultable. Les acheteurs étrangers et MRE, qui décident à distance, sont les plus pénalisés.","Clientèle MRE et étrangère : ce sont eux qui ont le plus besoin de choisir un lot en ligne avant de se déplacer. Argument de vente très concret pour ce promoteur.","","","","+212 5 20 12 12 12","","","https://www.palmeraie-immobilier.ma/","https://www.sarouty.ma/blog/quels-sont-les-nouveaux-projets-immobiliers-autour-de-casablanca-en-2026/","2026-07-24","86","A","Téléphone puis LinkedIn","California Golf Resort (Bouskoura) : démonstration ciblée sur l'acheteur MRE qui choisit sa villa depuis l'étranger, avec comparateur et simulateur de financement.","Chiffres 550 villas / 400 appartements issus de la presse spécialisée, à reconfirmer auprès du promoteur avant tout usage commercial. Aucune adresse e-mail publiée : Non vérifié."
"OB Real Estate (OB Invest)","https://obrealestate.ma/","Dar Bouazza","Garden View (Dar Bouazza, investissement d'environ 600 millions de dirhams) ; Kanopi Villas (Bouskoura) ; Les Jardins de la Medina et Jnane L'fekhar (Marrakech) ; Les Oliviers (Berrechid) ; Zohrate L'khayr (Deroua)","Appartements traversants F3 et F4 ; villas ; lots de terrain","https://obrealestate.ma/","Non publié — investissement de 600 MDH annoncé sur Garden View","Haut standing familial, proximité écoles internationales et Morocco Mall","Pages vitrines de projets avec descriptions et images, formulaire de contact ; aucune recherche de disponibilité, aucun filtre, aucun plan d'étage","Un projet de 600 MDH lancé avec une couverture presse nationale, et un site qui ne permet pas de voir un seul appartement. Le numéro de téléphone affiché est un numéro de remplissage (06 00 00 00 00).","Lancement récent et fortement médiatisé : le budget de commercialisation est ouvert maintenant. Garden View (F3/F4 traversants, 6 000 m² d'espaces verts) est un support de démonstration idéal.","","","Contact@obrealestate.ma","","","","https://obrealestate.ma/","https://www.leconomiste.com/perspective/1131843-le-groupe-ob-real-estate-annonce-le-lancement-de-son-nouveau-projet-garden-view","2026-07-24","85","A","E-mail puis téléphone","Garden View : personnaliser le prototype avec les faits publiés (F3/F4 traversants, 6 000 m² d'espaces verts, résidence fermée, proximité école belge) et un sélecteur d'étage.","Téléphone affiché sur le site = 06 00 00 00 00, valeur de remplissage manifeste : non retenu comme contact. Bureau : Florida Centre Park 2, bureau 10, 1er étage, Casablanca-Sidi Maârouf. Groupe historiquement actif dans la région Safi-Marrakech."
"Next House Group","https://nexthousegroup.ma/","Casablanca","La Vallée Dar Bouazza ; Next House Domaine d'Anfa (Casablanca) ; Next House Marrakech et Marrakech 2 (Ourika) ; Next House Zenata Eco-City","Appartements, villas, bureaux, commerces","https://nexthousegroup.ma/","Non publié — 5 projets simultanés","Premium urbain et balnéaire","Filtres par type de bien, marque, projet et ville ; pages projet, brochures, formulaires, WhatsApp, prise de rendez-vous ; aucune disponibilité par lot, aucun plan","Cinq programmes premium simultanés, aucune disponibilité consultable. Le site oriente systématiquement vers un contact humain pour la moindre question de lot.","Ils ont déjà accepté le principe du filtre multi-critères : la vente consiste à descendre du projet au lot. Le portefeuille multi-programmes ouvre un contrat cadre.","","","","+212 5 29 29 29 89","","","https://nexthousegroup.ma/","https://www.icidarbouazza.com/dar-bouazza-projets-immobilier-2025/","2026-07-24","85","A","Téléphone puis LinkedIn","La Vallée Dar Bouazza : sélecteur de bâtiment et d'étage, statuts, et démonstration du tableau de bord promoteur pour piloter 5 programmes depuis une seule interface.","Ancien domaine nexthouse.ma redirigé (301) vers nexthousegroup.ma. Adresse : Résidence Next House Casa Anfa, Boulevard des Clubs, Casablanca. Aucune adresse e-mail publiée : Non vérifié."
"Assafaa Bayt","https://assafaabayt.com/","Marrakech","Résidence Jibal Guéliz ; Atlas Mountain View ; Chrifia Residences 1 et 2 ; Résidence La Source ; Assafaa Victor Hugo 1 à 4 ; Kayssaria Assafaa","Appartements, studios, villas, commerces","https://assafaabayt.com/","4 617 biens commercialisés et 627 unités livrées revendiqués sur le site ; plus de 22 projets","Moyen et haut de gamme, région Marrakech-Safi","Pages projet, brochures via formulaire, fiches PDF, boutons WhatsApp et téléphone ; aucune recherche de lot en libre-service, aucun filtre de disponibilité","Plus de 4 600 biens commercialisés et pas une seule disponibilité consultable en ligne. Le volume traité rend le suivi manuel très coûteux.","Volume très élevé sur une seule région : le tableau de bord promoteur (offre 3) a un retour sur investissement évident. Cible naturelle pour l'offre haute.","","","contact@assafaabayt.com","+212 684282027","","","https://assafaabayt.com/","https://immojahez.com/promoteurs-immobiliers-au-maroc/","2026-07-24","81","A","E-mail puis WhatsApp","Résidence Jibal Guéliz : sélecteur d'étage et statuts, puis démonstration du tableau de bord sur le volume qu'ils annoncent (4 617 biens).","Second téléphone publié : +212 (0) 7 70 00 02 46. Bureaux à Guéliz et route de Casablanca, Marrakech. Chiffres 4 617 / 627 déclarés par l'entreprise, non audités."
"SGTM Immobilier","https://www.sgtm-immobilier.com/","Casablanca","Résidence Yasmine Tamesna ; Nawal Bernoussi (Casablanca) ; Kenz Mehdia ; Riad Al Jadida ; Riad Dalila (Fès) ; Ines Berrechid","Logement social, lots de terrain, appartements moyen standing et haut standing","https://www.sgtm-immobilier.com/","Non publié — 6 projets simultanés","Du social au moyen-haut standing","Filtrage par catégorie de produit, pages projet avec images, brochure téléchargeable, formulaire « Être rappelé » ; aucune disponibilité par lot, aucun plan","Filiale immobilière d'un grand groupe de BTP, avec un site qui reste au niveau de la plaquette. Le rappel téléphonique est le seul chemin vers une information de disponibilité.","Adossé à la Société Générale des Travaux du Maroc : capacité d'investissement élevée et plusieurs programmes récurrents. Bon profil pour un contrat cadre multi-programmes.","","","contact@sgtm-immobilier.com","+212 5 22 10 60 02","","","https://www.sgtm-immobilier.com/","https://immojahez.com/promoteurs-immobiliers-au-maroc/","2026-07-24","81","A","E-mail puis téléphone","Résidence Yasmine Tamesna : montrer le passage de la brochure PDF à l'inventaire vivant, avec statuts modifiables en direct depuis le tableau de bord.","Filiale de la Société Générale des Travaux du Maroc, active dans l'immobilier neuf depuis 2007. Siège administratif à Casablanca."
"Syam Living","https://syamliving.com/","Marrakech","Nour Land (livraison juillet 2027) ; Arizona (T2 2026) ; Adam Palm (T3 2025) ; Eden Plaza ; Eden Malak (Témara)","Résidentiel et commerces","https://syamliving.com/","Non publié — 6 projets, 5 en cours","Haut standing, Marrakech et Témara","Fiches projet avec ville, date de livraison et prix de départ ; liens « Voir disponibilité » vers des pages projet ; formulaire de contact et newsletter ; aucune disponibilité réelle par lot, aucun filtre, aucun plan","Le site promet « Voir disponibilité » mais aboutit à une page projet sans aucun lot. C'est une promesse non tenue, visible par chaque visiteur.","Ils ont déjà écrit le mot « disponibilité » sur leur site : le besoin est formulé, l'outil manque. Angle d'accroche exceptionnellement direct.","","","","","","","https://syamliving.com/","https://www.chridari.ma/fr/promoters","2026-07-24","81","A","Formulaire du site puis visite au siège","Reprendre littéralement leur bouton « Voir disponibilité » et montrer ce qu'il devrait ouvrir : la liste des lots de Nour Land par étage, avec statuts.","Aucun téléphone ni e-mail publié sur le site : Non vérifié. Adresse : Lot. Amazay 4, Av Acharaf, Marrakech 40000. Contact possible uniquement par formulaire ou sur place."
"BNG Immo","https://bngimmo.com/","Marrakech","Émeraude 3 · M Avenue (142 appartements, Grand Hivernage) ; Jardin d'Alma (88 villas familiales, route d'Ourika) ; Naïa Hills (79 lots constructibles) ; M Resort (route d'Amizmiz) ; Elyazia (route de Casablanca)","Appartements haut de gamme, villas familiales, studios, duplex, lots constructibles","https://bngimmo.com/","142 sur Émeraude 3 ; 88 sur Jardin d'Alma ; 79 sur Naïa Hills","Haut de gamme, clientèle internationale (site en FR, EN, NL)","Simulateurs, prise de rendez-vous en visioconférence, galeries, FAQ, sélecteur de langue ; aucune disponibilité par lot, aucun sélecteur d'étage","Le site est plus abouti que la moyenne mais s'arrête au projet. Sur Émeraude 3 (142 appartements), un acheteur néerlandophone ne peut pas voir un seul lot.","Clientèle internationale à distance et volumes publiés par projet : c'est le prospect qui comprendra le plus vite la valeur de l'inventaire en ligne.","","","contact@bngimmo.com","+212 6 15 16 27 19","","","https://bngimmo.com/en","https://www.chridari.ma/fr/promoters","2026-07-24","81","A","E-mail puis visioconférence","Émeraude 3 · M Avenue (142 appartements) : sélecteur d'étage et comparateur, en soulignant l'acheteur étranger qui choisit avant de venir. Proposer le rendez-vous par leur propre outil de visio.","Adresse : Complexe commercial Cherifa, Marrakech. Site déjà trilingue — la version arabe reste une option à chiffrer."
"Groupe Al Nour","https://groupealnour.ma/","Marrakech","Nour Sakane ; Nour Confort Guéliz ; Nour Confort Targa ; Nour Prestige ; Nour Prestige Targa ; Nour Horizon","Appartements et résidences","https://groupealnour.ma/","Non publié — 6 projets ; 4 projets recensés par un portail tiers","Moyen et haut de gamme, Marrakech","Pages projet illustrées, formulaire de contact, boutons d'appel ; aucune recherche de disponibilité, aucun filtre, aucun plan d'étage","Six résidences en parallèle sur une même ville, sans aucun moyen pour l'acheteur de comparer les lots entre deux d'entre elles.","Portefeuille concentré sur une seule ville avec des gammes distinctes (Confort, Prestige) : le comparateur inter-résidences est un argument sur mesure.","","","contact@groupealnour.ma","+212 5 24 43 43 72","","","https://groupealnour.ma/","https://www.chridari.ma/fr/promoters","2026-07-24","79","A","E-mail puis téléphone","Comparateur entre Nour Confort Targa et Nour Prestige Targa : montrer un acheteur qui arbitre entre deux gammes du même groupe sans appeler.","Adresse : Avenue Hassan II, Immeuble Nour 5, Marrakech."
"Chaabi Lil Iskane","https://www.liliskane.com/","Casablanca","Riad Garden I et II ; Amaïa (Marrakech) ; Océane (Sidi Rahal) ; Odyssée et Odyssée Studios (Mohammedia) ; Assalam TG (Tanger) ; Izdihar (Essaouira)","Appartements, studios, logement économique, lots de terrain","https://www.liliskane.com/","Non publié — plus de 7 programmes actifs","Économique à moyen standing, national","Galerie de projets avec filtre par ville et type, pages projet avec prix, simulateur de crédit, newsletter, formulaire ; aucun statut de lot, aucun plan d'étage, aucune sélection d'unité","Un promoteur d'envergure nationale dont le parcours s'arrête à la fiche projet. Le simulateur de crédit existe déjà — la brique manquante est l'inventaire.","Ils ont déjà un simulateur : preuve qu'ils investissent dans l'outil de vente en ligne. La suite logique est l'inventaire par lot. Volume national = contrat multi-programmes.","","","","05 20 39 34 00","","","https://www.liliskane.com/","https://immojahez.com/promoteurs-immobiliers-au-maroc/","2026-07-24","77","A","Téléphone puis courrier au siège","Odyssée (Mohammedia) : montrer la continuité entre leur simulateur existant et le choix du lot, sur un parcours unique.","Adresse : 239 Boulevard Mohammed V, Casablanca. Aucune adresse e-mail publiée : Non vérifié. Groupe Ynna Holding."
"Sama Immobilier","https://samaimmobilier.ma/","Casablanca","Jasmine et Lilas (Bouskoura) ; Panorama et City Zen Residences (Sidi Maârouf) ; Mansbay (Mohammedia) ; Costa Bouznika et Vista Résidences (Bouznika) ; Orangeries et City Laymoune (Casablanca) ; Firdaous (Ain Sebaâ)","Résidences, lots de terrain, bureaux","https://samaimmobilier.ma/fr/nos-projets","Non publié — 15 projets référencés","Moyen standing urbain et balnéaire","Base de projets avec filtres par ville et par nom, pages projet détaillées ; aucune disponibilité par lot, aucun statut, aucun plan d'étage","Quinze projets en portefeuille avec un filtre qui s'arrête au nom du projet. Aucun acheteur ne peut voir un lot disponible.","Le portefeuille le plus large de la base sur la zone Casablanca-Bouskoura-Mohammedia-Bouznika. Le tableau de bord multi-programmes est l'argument central.","","","contact@samaimmobilier.ma","+212 522 08 20 00","","","https://samaimmobilier.ma/fr/nos-projets","https://www.sarouty.ma/blog/quels-sont-les-nouveaux-projets-immobiliers-autour-de-casablanca-en-2026/","2026-07-24","76","A","E-mail puis téléphone","Jasmine (Bouskoura) : même ville que notre démonstration. Montrer le sélecteur d'étage puis basculer sur le tableau de bord pour les 15 programmes.","Présence Facebook, Instagram et LinkedIn signalée sur le site mais URL non relevées : Non vérifié."
